time,close,volume,avg,position
930,323011,1850027,323745,3237451
931,322891,8167326,323458,3234579
932,322950,11934267,323382,3233819
933,322920,15321922,323107,3231066
934,323085,18561558,323600,3236001
935,323267,21776847,324002,3240021
936,323143,25122644,323927,3239272
937,323155,27953706,323936,3239364
938,323152,30407738,324000,3239996
939,322981,32847672,323930,3239304
940,322981,32847672,323930,3239304
941,322981,32847672,323930,3239304
942,322795,40763788,323930,3239304
943,322518,43354564,323168,3231682
944,322668,45523890,323250,3232496
945,322701,47648709,323286,3232863
946,322582,50218460,323027,3230268
947,322536,52606151,322920,3229197
948,322504,54819623,322837,3228372
949,322568,57089967,322752,3227517
950,322700,59033851,322825,3228248
951,322813,62366964,322841,3228409
952,322646,64338668,322778,3227778
953,322698,66164494,322774,3227744
954,322621,68063810,322765,3227650
955,322941,70115791,322701,3227013
956,322985,72211476,322536,3225356
957,322939,73908144,322621,3226209
958,322854,75570735,322719,3227185
959,322802,77244292,322688,3226882
1000,322739,78879637,322740,3227397
1001,322495,81333568,322417,3224169
1002,322282,83968846,321892,3218924
1003,322327,86166716,321731,3217308
1004,322141,88060769,321630,3216296
1005,322092,89578987,321466,3214664
1006,322092,89578987,321466,3214664
1007,321902,94719892,321177,3211765
1008,321918,96534048,321304,3213040
1009,322014,98366818,321324,3213237
1010,322018,99963241,321386,3213857
1011,322052,101528634,321473,3214727
1012,321871,103409786,321225,3212246
1013,321620,105527444,320898,3208979
1014,321825,107146885,321082,3210818
1015,322013,108484451,321217,3212167
1016,322240,109851520,321431,3214305
1017,322353,111252932,321609,3216092
1018,322650,113153889,321738,3217384
1019,322673,114642705,321661,3216611
1020,322799,115998039,321666,3216657
1021,323056,117949678,321678,3216781
1022,323188,119690047,321835,3218346
1023,323247,121428273,322064,3220640
1024,323325,122833735,322209,3222092
1025,323088,124297734,322249,3222492
1026,323250,125526691,322421,3224209
1027,323249,126570065,322473,3224733
1028,323314,127505241,322576,3225764
1029,323325,128594494,322647,3226472
1030,323410,129630113,322665,3226654
1031,323131,130885781,322568,3225675
1032,323063,131972367,322439,3224394
1033,323246,132878048,322645,3226446
1034,323290,133893393,322721,3227214
1035,323413,134917114,322784,3227843
1036,323503,136140987,322849,3228491
1037,323451,137109070,322864,3228635
1038,323575,137993625,323006,3230064
1039,323497,138883158,323039,3230392
1040,323501,139734817,323081,3230810
1041,323585,140616755,323152,3231524
1042,323558,141474872,323201,3232009
1043,323475,142395552,323049,3230487
1044,323469,143253230,322972,3229716
1045,323522,144028027,323090,3230898
1046,323544,144871207,323181,3231805
1047,323337,145801871,323060,3230598
1048,323451,146645961,323042,3230422
1049,323396,147348412,322991,3229914
1050,323413,148101980,323074,3230741
1051,323314,148863448,322993,3229925
1052,323308,149578801,322950,3229495
1053,323210,150329163,322869,3228693
1054,322997,151359664,322852,3228518
1055,322902,152170075,322730,3227300
1056,323047,152934200,322810,3228100
1057,322878,153710062,322727,3227273
1058,322654,154770445,322647,3226472
1059,322633,155567137,322616,3226164
1100,322753,156289113,322693,3226926
1101,322802,156973415,322810,3228101
1102,322689,157785412,322788,3227876
1103,322837,158466861,322798,3227977
1104,322919,159094907,322868,3228682
1105,322868,159717288,322788,3227878
1106,322793,160366266,322689,3226893
1107,323002,161465450,322638,3226379
1108,322784,162292704,322565,3225650
1109,322856,163029768,322527,3225270
1110,322860,163766801,322556,3225563
1111,322825,164390512,322486,3224863
1112,322706,165249359,322363,3223634
1113,322730,165936436,322353,3223528
1114,322665,166541645,322280,3222802
1115,322521,167377868,322244,3222442
1116,322396,168292193,322083,3220834
1117,322423,169000883,322070,3220695
1118,322414,169633067,322077,3220766
1119,322555,170344034,322090,3220896
1120,322446,170953572,322114,3221137
1121,322486,171499340,322133,3221325
1122,322445,172019980,322111,3221114
1123,322526,172554040,322135,3221353
1124,322587,173096124,322208,3222080
1125,322665,173611685,322272,3222719
1126,322727,174211514,322289,3222886
1127,322670,174687389,322394,3223939
1128,322729,175172220,322396,3223958
1129,322673,175681549,322373,3223732
1130,322715,176381649,322386,3223861
1301,322676,178632789,322341,3223406
1302,322616,179634480,322121,3221213
1303,322711,180409436,322038,3220380
1304,322911,181351134,322193,3221925
1305,322885,182084843,322205,3222050
1306,322824,182998373,322207,3222066
1307,322757,183812991,322209,3222093
1308,322701,184517383,322083,3220829
1309,322512,185393355,322038,3220384
1310,322474,186179871,321976,3219759
1311,322388,187373966,321766,3217661
1312,322461,188314095,321817,3218168
1313,322516,189060047,321922,3219220
1314,322488,189741138,321882,3218817
1315,322411,190396031,321856,3218561
1316,322393,191185069,321825,3218246
1317,322299,191951807,321824,3218243
1318,322203,192830206,321696,3216963
1319,322141,194119710,321611,3216114
1320,322076,195056760,321538,3215377
1321,321995,195999263,321509,3215090
1322,322015,197109897,321384,3213837
1323,322087,197884145,321523,3215226
1324,322126,198721206,321649,3216485
1325,322163,199362448,321611,3216107
1326,322120,200018340,321596,3215958
1327,322134,200655008,321597,3215971
1328,321951,201485682,321470,3214700
1329,321742,202707639,321256,3212563
1330,321753,203668275,321273,3212729
1331,321792,204621574,321313,3213128
1332,321719,205417036,321258,3212575
1333,321670,206261075,321300,3213001
1334,321898,207065278,321419,3214192
1335,322011,207812651,321552,3215515
1336,322000,208508384,321620,3216203
1337,322033,209149398,321633,3216333
1338,322130,209752800,321662,3216620
1339,322226,210428674,321790,3217903
1340,322230,211175770,321891,3218912
1341,322334,211961476,322085,3220853
1342,322194,212621305,321972,3219722
1343,322198,213249707,321990,3219898
1344,322173,213818276,321933,3219329
1345,322033,214424564,321859,3218587
1346,321976,215063979,321745,3217454
1347,322226,215723220,321798,3217984
1348,322315,216304622,321958,3219578
1349,322390,216893249,322040,3220402
1350,322351,217441968,322085,3220847
1351,322359,217999146,322123,3221233
1352,322255,218619603,322018,3220175
1353,322184,219227463,321917,3219168
1354,322199,219753181,321910,3219104
1355,322264,220329131,321895,3218947
1356,322162,220963519,321915,3219150
1357,322206,221558519,321881,3218805
1358,322105,222220482,321807,3218072
1359,322105,222847167,321758,3217583
1400,322057,223572782,321721,3217205
1401,321799,224855650,321506,3215057
1402,321731,225778943,321457,3214565
1403,321550,226918213,321341,3213406
1404,321627,227888271,321357,3213571
1405,321511,228691943,321253,3212532
1406,321404,229713527,321138,3211381
1407,321442,230553449,321145,3211451
1408,321301,231566662,321004,3210035
1409,321314,232605228,321070,3210698
1410,321303,233308168,321007,3210069
1411,321385,234090361,321088,3210883
1412,321382,234769045,321155,3211550
1413,321504,235524055,321268,3212683
1414,321517,236213943,321309,3213090
1415,321554,236806740,321332,3213319
1416,321667,237540619,321480,3214803
1417,321538,238215346,321395,3213949
1418,321438,238930871,321320,3213204
1419,321471,239546837,321228,3212280
1420,321405,240276010,321174,3211735
1421,321285,241289143,321059,3210585
1422,321194,242454304,320975,3209749
1423,321176,243221964,320957,3209567
1424,321141,244068743,320910,3209099
1425,321119,244864307,320899,3208993
1426,321071,245900353,320846,3208457
1427,321170,246842448,320983,3209831
1428,321282,247671420,321115,3211148
1429,321204,248471029,321047,3210467
1430,321108,249221148,321014,3210135
1431,320951,250419934,320907,3209068
1432,320862,251509602,320779,3207788
1433,320842,252586330,320716,3207160
1434,320715,253953541,320535,3205351
1435,320689,255186369,320552,3205518
1436,320516,256889664,320395,3203948
1437,320537,258224235,320378,3203784
1438,320430,259475357,320282,3202821
1439,320444,260715861,320350,3203501
1440,320302,261861276,320237,3202374
1441,320442,263166542,320303,3203031
1442,320346,264368517,320276,3202759
1443,320282,265929775,320205,3202047
1444,320338,267253679,320116,3201162
1445,320224,268516349,320122,3201221
1446,320271,269995347,320166,3201658
1447,320198,271356185,320061,3200610
1448,319968,273084412,319909,3199093
1449,319979,275066889,319860,3198602
1450,320007,275538143,319860,3198602